,NAO(J),NAO,EA_WR,NP,NBRA,AMO(s),TNA,PWR,SWMRR,BEST,PNA,TNI,Hurricane activity,SR,AMM,AMO,SF,Niño(3),SOI,TSA,Niño(4),QBO,PDO,GMOT,Niño(3.4),EP_NP,AT,NOI,Niño(1+2),WHWP,CIP,TPI(IPO),Month,AO,WP,CAR,ONI,AAO,ENSO,MEI,GIAM,NTA
433,1.73,0.37,-1.78,1007.5,-10.0,-0.14400000000000002,-0.2,-0.28300000000000003,0.16,-0.54,0.73,0.907,0.0,-8.0,-2.97,-0.092,1406.0,-0.15,1.4,0.65,-0.72,-11.34,1.21,0.09,-0.19,-1.41,-0.414,2.995,-0.88,-0.3,141.0,0.14,2,-0.303,-0.33,-0.05,-0.42,-0.544,-1.3342100000000001,-0.52,-2.31,-0.18
434,-2.12,-0.79,-2.14,1005.01,38.0,-0.145,-0.1,-0.18899999999999997,0.78,0.02,1.08,0.603,0.0,5.0,-3.43,-0.129,1220.0,-0.23,-0.4,0.79,-0.85,-12.98,1.77,0.33,-0.52,0.98,-0.5820000000000001,1.301,-0.87,-0.52,13.0,0.13,3,-2.386,-1.04,-0.12,-0.34,0.251,-0.8527399999999999,-0.11,-2.16,-0.19
435,0.33,-0.45,0.64,1015.6,214.0,-0.145,-0.19,-0.19399999999999998,0.79,-0.56,1.41,0.369,0.0,-5.0,-2.76,-0.162,1287.0,-0.49,0.6,0.5,-0.88,-14.58,1.52,0.1,-0.68,-1.7,-0.252,1.6880000000000002,-0.23,-0.04,35.0,-0.07,4,-0.284,-0.91,-0.17,-0.43,-0.204,-1.4388299999999998,0.09,-1.75,-0.17
436,-2.34,0.55,-1.72,1015.5,138.0,-0.145,-0.16,-0.295,0.39,-0.39,0.37,0.14800000000000002,0.0,78.0,-1.77,-0.17,1283.0,-0.93,0.3,0.26,-0.78,-15.05,1.3,0.47,-0.73,-0.64,-0.017,1.318,-1.11,-0.8,11.0,-0.3,5,0.479,-1.73,-0.31,-0.51,-1.237,-1.6168799999999999,-0.47,-1.83,-0.23
437,0.33,-0.12,-0.17,1014.88,111.0,-0.14300000000000002,-0.37,-0.44299999999999995,1.05,-0.28,-0.36,-0.183,0.0,-42.0,-2.65,-0.32899999999999996,1003.0,-1.17,-0.6,0.46,-0.78,-17.97,0.18,0.0,-0.9,-0.76,-0.703,1.482,-0.95,-2.62,1020.0,-0.6,6,0.006999999999999999,0.8,-0.45,-0.45,0.426,-1.12579,-0.72,-1.89,-0.25
438,0.93,-0.04,0.32,1018.53,68.0,-0.141,-0.35,-0.38299999999999995,2.64,-0.2,-2.61,-0.516,0.0,-256.0,-3.17,-0.27,893.0,-0.78,0.3,0.55,-0.59,-25.39,-0.18,0.19,-0.5,-0.1,-0.659,-1.165,-0.63,-3.09,2478.0,-0.45,7,0.019,0.52,-0.57,-0.3,0.89,-0.99987,-0.31,-1.46,-0.3
439,1.0,1.35,2.08,1015.7,68.0,-0.139,-0.28,-0.32,3.21,-0.31,-1.14,-0.536,0.0,-702.0,-3.57,-0.23,837.0,-0.41,0.7,0.77,-0.62,-27.9,-0.03,0.29,-0.24,0.85,-0.314,1.063,-0.56,-4.25,3246.0,-0.33,8,0.466,0.24,-0.57,-0.16,-0.5479999999999999,-1.2831299999999999,-0.15,-0.96,-0.29
440,-1.31,0.31,-0.63,1012.16,86.0,-0.139,-0.24,-0.163,1.65,-0.21,-0.02,-0.27699999999999997,3.75,-97.0,-3.43,-0.213,781.0,-0.34,0.2,0.84,-0.54,-25.44,0.67,0.24,-0.34,1.25,0.064,0.632,-0.07,-6.13,989.0,-0.1,9,-0.413,0.17,-0.52,-0.24,0.327,-1.3659700000000001,-0.11,-0.49,-0.41
441,1.66,0.43,-0.17,1011.95,128.0,-0.139,-0.49,-0.263,1.92,-0.2,-0.53,0.18600000000000003,7.0,-51.0,-3.14,-0.348,735.0,-0.67,-0.5,0.59,-0.74,-21.59,0.58,0.17,-0.67,-0.49,-0.9840000000000001,1.62,-0.51,-5.28,482.0,-0.12,10,-0.27,-1.51,-0.45,-0.56,-0.009000000000000001,-0.66674,-0.15,-0.64,-0.52
442,-1.16,-0.2,1.18,1008.04,-65.0,-0.14,-0.46,-0.151,0.79,-0.66,0.39,0.207,4.75,21.0,-3.12,-0.429,763.0,-0.99,0.4,0.31,-0.91,-13.19,0.71,0.11,-1.19,-0.94,-1.5290000000000001,-2.479,-0.13,-2.02,10.0,-0.42,11,-0.966,0.16,-0.37,-0.92,-0.024,0.1103,-0.58,-0.92,-0.57
443,1.52,-0.09,0.06,1010.8,-73.0,-0.14,-0.5,-0.28600000000000003,2.71,-0.62,-1.9,0.255,2.75,-4.0,-2.68,-0.322,759.0,-1.27,-0.2,0.25,-0.95,-8.16,0.82,0.0,-1.34,,-1.5430000000000001,-0.324,-0.4,-0.32,3.0,-0.95,12,0.446,0.6,-0.32,-1.14,-1.476,-0.6078,-0.31,-0.93,-0.49
444,-2.87,-2.38,-0.34,1000.04,134.0,-0.142,-0.43,-0.203,1.31,-0.19,1.44,0.366,0.0,-4.0,-3.04,-0.359,745.0,-1.26,-0.5,0.32,-0.64,-0.37,1.27,0.3,-1.16,1.0,-1.426,0.568,-0.78,-0.17,86.0,-0.55,1,-2.806,-0.61,-0.3,-1.04,-0.795,-0.06813999999999999,-0.25,-1.13,-0.43
445,-0.24,-1.0,0.38,1014.16,130.0,-0.14400000000000002,-0.37,-0.154,0.84,-0.95,-0.99,0.147,0.0,-7.0,-2.71,-0.33399999999999996,737.0,-0.9,2.0,0.52,-0.71,4.21,0.94,0.03,-0.72,-2.41,-1.105,6.115,-1.38,-0.3,3.0,-0.55,2,-1.44,-1.12,-0.27,-0.85,0.215,-0.8624799999999999,-0.58,-0.54,-0.54
446,0.07,-0.19,0.18,1016.99,94.0,-0.145,-0.62,-0.165,1.66,-0.72,-1.19,-0.506,0.0,14.0,-3.92,-0.361,733.0,-0.78,1.3,0.14,-1.01,6.3,0.57,0.22,-0.79,-0.67,-1.403,4.007,-0.89,-0.91,13.0,-0.59,3,0.551,1.81,-0.25,-0.77,-0.134,0.13296,-0.6,-0.45,-0.68
447,0.34,0.2,0.48,1017.62,272.0,-0.14400000000000002,-0.65,-0.159,1.58,-1.08,-1.27,-0.5720000000000001,0.0,-45.0,-3.9,-0.405,751.0,-1.05,1.9,0.15,-1.14,11.11,0.19,0.2,-1.18,-1.64,-1.705,1.571,-1.37,-2.4,80.0,-0.53,4,0.652,-0.53,-0.19,-0.78,0.031,-0.87846,-0.76,0.13,-0.84
448,-2.13,-0.4,-0.14,1015.62,-34.0,-0.145,-0.7,-0.22699999999999998,0.75,-0.5,-0.82,-0.762,0.0,-113.0,-4.94,-0.342,802.0,-1.07,0.7,0.24,-0.98,13.57,0.0,0.13,-1.03,-0.31,-1.7009999999999998,0.973,-1.88,-1.9,96.0,-0.45,5,-0.43200000000000005,0.72,-0.11,-0.78,-0.066,-1.2708899999999999,-1.22,0.28,-0.74
449,-1.08,-0.5,1.06,1015.55,40.0,-0.146,-0.3,-0.32799999999999996,0.58,-0.11,1.28,-1.244,0.0,-32.0,-0.62,-0.133,761.0,-1.02,-0.6,0.04,-0.95,14.04,0.18,0.24,-0.91,-0.75,-0.519,-1.071,-1.27,-1.59,1251.0,-0.37,6,-0.34700000000000003,0.37,-0.09,-0.63,-0.331,-0.6511,-0.57,0.25,-0.55
450,1.09,1.25,1.71,1017.43,156.0,-0.14800000000000002,-0.05,-0.289,2.07,-0.22,-0.19,-1.452,0.5,19.0,0.12,-0.158,787.0,-1.1,-0.2,0.27,-0.72,11.1,1.07,0.05,-0.74,1.93,-0.611,-1.102,-1.4,-2.28,2341.0,-0.25,7,-0.39,0.24,-0.15,-0.49,1.9140000000000001,-0.50059,-0.02,0.08,-0.32
451,2.33,-0.74,0.63,1018.13,76.0,-0.147,-0.08,-0.309,1.38,-0.64,-0.53,-1.337,5.25,-46.0,-0.26,-0.28600000000000003,715.0,-0.88,1.6,0.1,-0.58,11.08,0.81,0.33,-0.56,1.15,-1.4280000000000002,0.499,-1.23,-2.76,2253.0,-0.29,8,-0.001,0.31,-0.23,-0.46,0.595,-0.52678,-0.37,-0.21,-0.26
452,0.0,-0.36,0.54,1015.87,28.0,-0.146,-0.16,-0.257,2.21,-0.29,-0.63,-1.499,8.0,-38.0,-0.39,-0.252,695.0,-0.86,0.0,0.02,-0.48,11.72,0.44,0.2,-0.7,-0.22,-1.251,0.8440000000000001,-0.99,-3.15,899.0,-0.29,9,0.114,-0.4,-0.24,-0.4,1.507,-0.86167,-0.44,0.45,-0.29
453,0.14,1.49,1.69,1015.66,-25.0,-0.145,-0.14,-0.315,1.92,-0.01,-1.5,-1.379,1.75,-148.0,-1.1,-0.25,747.0,-0.8,-0.6,0.27,-0.4,11.84,0.29,0.12,-0.49,-0.75,-1.256,0.8809999999999999,-0.92,-2.93,1170.0,-0.19,10,1.035,0.09,-0.23,-0.35,0.47100000000000003,-0.51608,-0.04,0.87,-0.29
454,-2.85,-0.84,-0.88,1012.52,-35.0,-0.145,-0.08,-0.217,1.69,-0.02,-1.83,-0.95,5.75,-10.0,-0.23,-0.3,742.0,-0.7,-0.3,0.24,-0.35,11.45,-0.75,0.03,-0.37,1.25,-1.083,-0.695,-0.79,-1.74,32.0,-0.17,11,-1.218,-0.97,-0.23,-0.27,1.085,-0.69526,0.0,1.02,-0.3
455,-0.43,0.11,-0.05,1001.79,395.0,-0.14400000000000002,-0.25,-0.081,0.37,-0.21,1.08,-0.623,0.0,0.0,-1.88,-0.341,748.0,-0.73,0.4,0.29,-0.24,9.51,0.38,0.09,-0.41,,-1.33,-0.512,-0.38,-0.25,25.0,-0.06,12,-1.9480000000000002,-0.96,-0.2,-0.36,1.24,-0.29472,-0.34,0.39,-0.38
456,1.46,0.78,-1.11,1001.44,-19.0,-0.14400000000000002,-0.62,-0.249,0.2,-0.73,0.6,-0.564,0.0,-5.0,-3.85,-0.348,732.0,-0.8,1.6,0.2,-0.25,8.74,1.12,0.35,-0.66,0.52,-1.683,-3.013,0.0,-0.17,60.0,-0.36,1,-0.568,-0.36,-0.13,-0.49,0.158,-1.1931399999999999,-0.36,0.15,-0.48
457,-4.02,-1.58,-0.07,1000.52,101.0,-0.14300000000000002,-0.63,-0.196,1.29,0.26,0.41,-0.45799999999999996,0.0,-3.0,-4.4,-0.28,836.0,-0.53,-1.7,0.47,-0.23,10.15,1.61,0.48,-0.71,0.83,-1.702,-5.391,-0.1,-0.3,292.0,-0.16,2,-2.904,-1.97,-0.09,-0.47,-1.588,-0.5434899999999999,-0.3,-0.6,-0.58
458,2.86,1.39,1.35,1007.7,113.0,-0.142,-0.61,-0.335,1.34,-0.29,0.51,-0.515,0.0,-11.0,-4.39,-0.298,770.0,-0.37,0.8,0.38,-0.16,11.96,2.18,0.4,-0.42,0.07,-1.797,-2.448,-0.73,-0.77,34.0,0.07,3,1.931,-1.16,-0.11,-0.31,-0.77,-1.61581,-0.39,-0.65,-0.64
459,-0.93,-0.79,-1.62,1018.11,250.0,-0.14300000000000002,-0.64,-0.247,0.81,-0.29,-0.15,-0.968,0.0,-23.0,-5.2,-0.33,751.0,-0.38,0.5,0.28,-0.34,9.11,1.55,0.36,-0.33,-1.56,-2.002,2.399,-0.85,-1.79,22.0,0.1,4,0.10300000000000001,0.04,-0.15,-0.2,-0.087,-1.0811,-0.52,-0.76,-0.66
460,2.16,0.84,0.72,1015.26,77.0,-0.14400000000000002,-0.54,-0.046,0.91,0.05,-0.03,-1.395,0.0,9.0,-4.42,-0.233,726.0,-0.6,-0.4,0.26,-0.33,3.56,1.16,0.29,-0.53,-1.17,-1.579,-1.489,-1.18,-0.98,120.0,0.12,5,0.36700000000000005,0.28,-0.23,-0.12,-1.847,0.21204,-0.18,-0.46,-0.65
461,-1.29,1.54,-0.19,1013.85,116.0,-0.14400000000000002,-0.59,-0.08199999999999999,1.49,-0.31,0.39,-1.5290000000000001,1.0,-97.0,-4.37,-0.266,676.0,-0.45,1.6,0.41,-0.19,-2.15,0.89,0.11,-0.31,0.23,-1.52,-0.069,-1.08,-1.99,1668.0,0.19,6,0.535,-0.08,-0.26,-0.04,-0.619,-0.20274,0.12,-0.17,-0.57
462,0.88,0.15,0.87,1017.83,-40.0,-0.145,-0.38,-0.06,2.39,0.2,-0.35,-1.7269999999999999,0.0,-71.0,-3.02,-0.254,702.0,-0.14,0.5,0.19,-0.08,-5.25,1.38,0.12,-0.11,-0.35,-1.075,2.059,-0.49,-1.3,2758.0,0.41,7,-0.008,-0.04,-0.31,0.22,0.08900000000000001,-0.030180000000000002,0.56,-0.06,-0.54
463,-2.21,-1.53,0.8,1015.37,228.0,-0.145,-0.41,-0.23800000000000002,2.55,0.59,-1.49,-1.86,1.0,-272.0,-2.75,-0.27699999999999997,684.0,0.17,-0.6,0.21,0.06,-9.6,0.22,0.25,0.32,2.55,-1.214,0.026000000000000002,-0.1,-2.28,2233.0,0.63,8,-0.826,-0.65,-0.32,0.44,-0.157,0.07082000000000001,1.05,0.29,-0.48
464,-1.34,-0.95,1.96,1015.04,658.0,-0.14400000000000002,0.04,-0.44,1.81,0.76,-0.28,-1.7690000000000001,7.25,291.0,-1.68,-0.225,687.0,0.3,-0.8,0.3,0.22,-10.21,0.22,0.02,0.53,0.87,-0.473,0.22,0.18,-1.09,500.0,0.59,9,-0.023,0.69,-0.34,0.71,0.8490000000000001,0.02135,1.31,0.4,-0.46
465,2.27,2.2,1.19,1010.96,41.0,-0.146,-0.2,-0.21899999999999997,1.63,0.3,1.18,-1.689,0.0,-53.0,-2.34,-0.32299999999999995,830.0,0.53,1.1,0.14,0.23,-9.6,1.0,0.13,0.81,1.35,-1.055,-1.1320000000000001,0.25,-1.99,76.0,0.84,10,1.425,-0.27,-0.26,0.94,0.306,0.0767,0.57,0.09,-0.48
466,3.41,2.27,-0.05,1011.89,79.0,-0.147,-0.6,-0.221,1.79,1.35,-0.71,-1.6159999999999999,1.25,-7.0,-3.41,-0.402,771.0,0.78,-2.0,-0.17,0.38,-8.01,1.77,0.07,1.01,1.54,-1.785,2.168,0.36,-1.44,65.0,1.09,11,0.9259999999999999,-0.56,-0.15,1.14,-0.222,0.13685999999999998,0.65,-0.12,-0.63
467,3.42,0.83,1.42,1001.0,35.0,-0.14800000000000002,-0.69,-0.2,1.27,1.31,1.06,-1.3219999999999998,0.0,-4.0,-5.95,-0.376,726.0,0.92,-2.4,0.02,0.32,-10.51,1.77,0.13,1.12,,-2.033,-3.139,0.6,0.02,151.0,1.31,12,0.06,-0.17,-0.07,1.22,0.8859999999999999,1.80845,1.06,-0.49,-0.6
468,-2.12,-1.85,0.82,1003.22,-73.0,-0.149,-0.32,-0.171,1.12,0.99,0.63,-0.98,0.0,-5.0,-3.66,-0.28300000000000003,725.0,1.02,-1.1,0.02,0.3,-9.93,1.88,0.34,1.14,-0.74,-1.15,0.29100000000000004,0.99,-0.03,158.0,1.15,1,-1.148,1.57,-0.08,1.23,-0.95,0.51243,0.98,-0.15,-0.52
469,-0.24,-1.27,-0.03,1005.45,-26.0,-0.149,-0.17,-0.28600000000000003,1.66,1.42,0.57,-0.584,0.0,-7.0,-2.74,-0.223,715.0,1.14,-2.1,0.08,0.5,-11.37,1.75,0.49,1.13,-0.49,-0.862,-1.989,0.97,0.18,115.0,1.16,2,-1.473,0.37,-0.07,1.19,-0.708,1.10648,1.08,0.39,-0.2
470,0.29,-0.26,0.48,1008.28,50.0,-0.15,0.22,-0.095,0.73,1.71,0.85,-0.221,0.0,-1.0,0.18,-0.038,740.0,1.0,-2.1,0.16,0.47,-14.23,2.1,0.24,0.98,0.73,0.045,-5.518,1.44,1.76,45.0,1.17,3,-1.746,0.22,-0.14,1.06,-0.133,1.52377,1.47,0.51,0.03
471,2.59,2.03,1.85,1012.3,-18.0,-0.151,0.33,-0.111,0.49,1.84,1.54,-0.192,0.0,-76.0,0.93,0.024,849.0,0.77,-2.3,0.04,0.08,-16.2,2.16,0.38,0.58,-0.68,0.34299999999999997,-2.083,1.56,2.44,6.0,1.16,4,0.387,0.48,-0.16,0.95,-0.28600000000000003,2.01767,1.66,0.27,0.24
472,-0.81,0.96,-0.18,1016.47,-176.0,-0.151,0.37,0.07200000000000001,1.21,1.97,-1.02,-0.289,0.0,-86.0,0.57,0.063,878.0,0.89,-2.1,0.28,0.19,-20.05,1.85,0.26,0.62,-0.26,0.445,-1.5930000000000002,1.52,2.7,193.0,1.09,5,0.325,1.77,-0.16,0.97,0.039,2.14975,1.91,0.21,0.39
473,-0.58,-1.53,-0.96,1013.99,112.0,-0.151,0.62,0.021,0.75,2.08,0.56,-0.49700000000000005,0.0,-8.0,2.34,0.198,779.0,0.86,-1.8,0.42,0.4,-21.47,0.73,0.5,0.92,-1.09,0.9640000000000001,-1.093,0.98,3.12,1118.0,1.23,6,-0.71,1.73,-0.03,1.22,-0.7020000000000001,1.30243,2.02,0.58,0.4
474,-1.24,0.55,-0.71,1015.87,-40.0,-0.151,0.48,-0.054000000000000006,1.1,2.1,-0.43,-0.835,0.0,-214.0,0.22,0.27399999999999997,842.0,1.11,-2.2,0.5,0.49,-13.96,2.01,0.5,1.29,0.94,0.929,-3.1630000000000003,1.03,3.98,1591.0,1.55,7,-0.466,0.6,0.07,1.51,-1.531,2.21963,1.92,1.08,0.39
475,-2.99,-1.19,-0.98,1016.65,-67.0,-0.152,0.56,-0.028999999999999998,2.59,1.87,0.74,-1.008,1.75,-206.0,0.78,0.27399999999999997,900.0,1.45,-1.5,0.43,0.59,-0.6,2.83,0.19,1.57,0.97,1.2890000000000001,-2.171,0.82,5.14,2887.0,1.58,8,-0.836,-0.49,0.17,1.7,1.485,0.76478,1.48,1.45,0.22
476,1.27,-1.04,1.7,1015.43,-46.0,-0.153,0.4,-0.001,0.81,1.68,-2.6,-1.1909999999999998,2.75,-42.0,0.38,0.188,861.0,1.66,-1.7,0.32,0.78,5.88,2.44,0.3,1.65,0.49,0.628,0.138,1.1,5.41,552.0,1.62,9,0.287,1.44,0.13,1.65,-0.799,1.73081,1.23,1.65,0.25
477,-0.8,0.66,-2.46,1012.45,-20.0,-0.153,0.45,0.042,1.06,1.14,0.75,-1.2830000000000001,0.5,10.0,0.58,0.040999999999999995,981.0,1.16,-0.6,0.42,0.82,9.35,1.36,0.37,1.24,1.2,-0.11900000000000001,-3.031,1.45,4.18,648.0,1.59,10,-0.08,0.93,0.07,1.48,0.455,0.80438,1.13,1.74,0.24
478,-0.67,0.06,0.17,1009.72,-70.0,-0.153,0.36,0.155,1.43,0.74,1.19,-1.465,0.0,-19.0,-0.68,-0.075,1012.0,0.99,0.0,0.63,0.82,9.23,1.47,0.34,1.07,-0.67,-0.23,0.5660000000000001,1.14,3.48,242.0,1.26,11,-0.536,0.15,0.01,1.25,1.06,0.31182,0.85,1.53,0.34
479,-0.81,0.21,1.22,1009.49,-22.0,-0.152,0.52,0.054000000000000006,1.43,0.9,0.5,-1.5659999999999998,0.0,-4.0,1.1,0.038,944.0,1.0,-0.8,0.39,0.76,8.41,1.27,0.52,0.94,,0.39299999999999996,-0.861,0.67,0.7,233.0,1.19,12,-0.534,1.75,-0.02,1.11,0.272,0.33941,0.75,1.3,0.26
480,0.53,0.68,-1.09,1005.4,72.0,-0.15,0.15,0.157,1.11,0.54,0.03,-1.7180000000000002,0.0,-4.0,-1.36,-0.047,1080.0,0.68,-0.2,0.63,0.65,7.81,0.93,0.62,0.9,1.13,0.028999999999999998,0.3,0.02,0.31,22.0,0.9,1,0.265,1.83,-0.03,0.81,-0.612,0.04456,0.59,1.45,0.14
481,-0.11,0.42,-1.44,1004.18,-16.0,-0.15,-0.02,0.337,0.69,0.54,1.37,-1.557,0.0,-2.0,-2.51,-0.122,1050.0,-0.01,-0.6,0.66,0.45,6.17,1.24,0.48,0.28,-0.13,-0.449,2.772,-0.31,-0.01,37.0,0.4,2,-1.0659999999999998,0.3,-0.1,0.54,0.551,0.06427000000000001,0.31,1.12,0.03
482,0.78,-0.58,-2.23,1011.88,88.0,-0.151,0.27,0.285,0.25,0.18,0.38,-1.35,0.0,-12.0,-0.66,-0.017,1149.0,-0.15,1.1,0.77,0.14,5.86,1.42,0.61,0.1,0.26,0.162,7.2410000000000005,-0.81,0.77,32.0,0.31,3,-0.19699999999999998,0.53,-0.14,0.14,-0.21899999999999997,-0.8340000000000001,0.19,1.03,0.13
483,-2.39,-1.42,0.39,1013.58,-6.0,-0.153,0.38,0.213,1.7,-0.31,1.12,-1.229,0.0,33.0,1.39,0.044000000000000004,1227.0,-0.65,0.2,0.59,-0.36,6.59,0.94,0.47,-0.44,-0.63,0.6459999999999999,-3.2260000000000004,-0.83,-0.04,86.0,0.01,4,-0.561,-0.2,-0.13,-0.31,-0.077,0.49703,-0.01,0.59,0.23
484,-1.24,0.64,-1.03,1013.46,57.0,-0.155,0.29,0.10099999999999999,0.69,-1.3,0.61,-1.016,0.0,-106.0,0.48,0.13,1152.0,-1.57,1.5,0.71,-0.62,5.46,1.2,0.62,-1.25,-1.16,0.6609999999999999,1.2429999999999999,-1.26,0.15,60.0,-0.61,5,-0.846,-0.15,-0.11,-0.88,-0.7490000000000001,-0.81966,-0.36,0.27,0.28
485,-2.75,1.19,-1.14,1014.03,67.0,-0.156,0.34,0.052000000000000005,1.36,-1.11,1.31,-0.9109999999999999,0.0,37.0,1.71,0.158,1394.0,-2.18,0.1,0.73,-0.88,0.42,0.74,0.53,-1.74,-0.93,0.888,-0.313,-1.66,-0.3,1376.0,-0.95,6,0.061,-0.25,-0.11,-1.3,-1.055,-0.74217,-1.19,-0.41,0.25
486,1.46,-0.32,-0.73,1017.64,12.0,-0.158,0.27,0.135,2.04,-1.61,1.6,-0.7709999999999999,0.0,100.0,1.74,0.102,1527.0,-2.06,1.7,0.46,-0.94,-3.96,0.64,0.42,-1.74,0.1,0.436,0.16,-1.37,-0.39,3600.0,-1.05,7,-0.14300000000000002,-1.47,-0.15,-1.3,0.5760000000000001,-0.58217,-1.77,-1.06,0.12
487,0.73,-0.07,0.54,1015.63,-60.0,-0.16,0.03,0.305,3.83,-1.64,-0.62,-0.447,0.0,381.0,0.47,-0.016,1542.0,-1.48,2.5,0.5,-0.77,-2.58,0.19,0.46,-1.19,0.44,-0.504,-1.831,-1.46,-0.98,2508.0,-1.15,8,0.255,0.78,-0.23,-1.11,-0.745,-1.22153,-1.79,-1.52,-0.03
488,0.8,-0.82,0.39,1016.17,-14.0,-0.16,0.06,0.34700000000000003,1.28,-1.71,-0.97,0.27399999999999997,16.25,171.0,0.2,-0.10400000000000001,1525.0,-1.09,3.0,0.3,-0.92,-2.29,-0.37,0.5,-1.0,-0.19,-0.35700000000000004,2.046,-1.29,-1.86,2321.0,-1.23,9,1.0390000000000001,-0.83,-0.27,-1.19,-0.6890000000000001,-1.19459,-1.77,-1.32,-0.21
489,-2.02,-0.66,0.19,1011.55,4.0,-0.16,-0.2,0.225,0.81,-1.86,0.89,0.875,5.0,-134.0,-0.28,-0.179,1698.0,-1.55,2.3,0.37,-1.64,-1.53,-0.1,0.52,-1.9,0.99,-0.36,0.531,-1.2,-2.31,392.0,-1.6,10,0.032,-0.56,-0.23,-1.48,-2.314,-1.09863,-1.54,-0.93,-0.26
490,-1.47,-0.49,1.19,1009.8,28.0,-0.161,-0.23,-0.032,0.79,-2.06,0.11,1.614,0.0,4.0,0.08,-0.156,1562.0,-1.67,2.8,0.14,-1.73,-0.84,-0.02,0.17,-2.05,-1.31,-0.109,2.417,-0.96,-1.69,30.0,-1.57,11,-0.035,-0.96,-0.2,-1.8,0.401,-1.85008,-1.61,-0.9,-0.3
491,1.85,0.48,0.75,1008.35,212.0,-0.162,-0.23,-0.183,0.37,-1.47,0.33,2.362,0.0,-4.0,-0.21,-0.17300000000000001,1998.0,-1.61,2.0,0.19,-1.77,-2.42,-0.43,0.32,-1.96,,-0.038,4.167,-0.75,-0.2,17.0,-1.47,12,1.679,-0.67,-0.15,-1.85,1.074,-0.8733700000000001,-1.49,-1.19,-0.29
492,3.53,0.85,1.14,1012.01,50.0,-0.165,-0.42,-0.06,1.35,-1.55,-1.57,2.6289999999999996,0.0,-5.0,-2.6,-0.23,2354.0,-1.44,2.5,0.41,-1.72,-2.87,-0.95,0.19,-1.97,-1.81,-0.5820000000000001,8.677999999999999,-0.3,-0.17,30.0,-1.59,1,3.1060000000000003,1.26,-0.2,-1.69,0.618,-0.7832899999999999,-1.09,-1.75,-0.34
493,3.61,1.82,-0.23,1015.04,-87.0,-0.16699999999999998,-0.48,-0.21,0.68,-1.23,-1.71,2.577,0.0,-1.0,-2.84,-0.165,2224.0,-0.96,2.0,0.23,-1.53,-3.56,-1.02,0.36,-1.47,2.34,-0.688,3.284,-0.06,-0.3,0.0,-1.01,2,3.279,0.53,-0.26,-1.43,0.8490000000000001,-0.86944,-1.06,-1.72,-0.51
494,2.45,1.54,-0.28,1013.51,2.0,-0.168,-0.66,-0.142,0.63,-1.14,-1.56,2.039,0.0,14.0,-4.84,-0.262,2051.0,-1.01,1.8,0.35,-1.16,-1.63,-0.83,0.41,-1.21,0.6,-1.1440000000000001,-1.98,-0.15,-0.91,195.0,-0.99,3,1.53,-1.98,-0.32,-1.08,0.632,-0.765,-1.2,-1.71,-0.67
495,-0.48,0.16,-1.11,1015.95,94.0,-0.16899999999999998,-0.89,-0.17300000000000001,0.08,-1.66,-0.77,1.436,0.0,-49.0,-5.79,-0.298,1896.0,-0.86,2.7,0.29,-1.01,-1.93,-0.32,0.37,-1.08,1.29,-1.54,-0.508,-0.09,-1.9,17.0,-0.78,4,-0.25,-0.28,-0.33,-0.83,-0.573,-0.65488,-1.09,-1.33,-0.75
496,1.16,1.33,-0.04,1017.43,138.0,-0.17,-0.66,-0.184,0.5,-1.26,-0.04,0.6579999999999999,0.0,-86.0,-4.45,-0.156,1901.0,-0.83,2.0,0.33,-0.79,-5.46,0.47,0.19,-0.88,0.45,-0.677,2.3819999999999997,-1.2,-1.29,78.0,-0.75,5,0.889,0.36,-0.28,-0.58,2.6910000000000003,-0.7207600000000001,-1.04,-0.91,-0.61
497,-0.53,0.03,-1.2,1016.45,105.0,-0.17,-0.17,-0.239,0.51,-0.74,-0.56,0.10300000000000001,0.0,43.0,0.35,0.08199999999999999,2396.0,-0.32,1.2,0.31,-0.92,-9.38,0.36,0.14,-0.59,0.09,0.75,-1.82,-1.08,-1.84,1606.0,-0.62,6,0.345,-0.62,-0.22,-0.4,1.995,-0.00997,-1.02,-0.46,-0.32
498,0.58,1.0,-2.04,1018.85,179.0,-0.16899999999999998,0.25,-0.076,2.01,-0.64,-0.59,-0.4,0.0,21.0,2.14,0.168,1819.0,-0.45,1.5,0.26,-0.85,-13.86,0.83,0.46,-0.57,-1.23,1.3940000000000001,3.3360000000000003,-0.79,-1.33,2386.0,-0.48,7,0.866,0.89,-0.19,-0.31,1.4580000000000002,-0.2214,-1.12,-0.18,-0.07
499,1.76,-0.11,0.05,1015.9,83.0,-0.16899999999999998,0.39,-0.063,1.85,-0.04,-0.27,-0.42,11.25,369.0,2.68,0.10400000000000001,2171.0,-0.4,-0.5,0.39,-0.77,-16.98,0.09,0.46,-0.53,1.32,0.93,0.247,-0.3,-0.96,2871.0,-0.6,8,0.551,2.52,-0.18,-0.27,-0.132,-0.77784,-0.73,-0.43,-0.01
500,-0.96,2.15,-1.12,1013.41,-81.0,-0.16899999999999998,0.06,0.063,0.81,-0.4,0.41,-0.40399999999999997,20.0,-128.0,0.52,-0.10400000000000001,2259.0,-0.3,0.8,0.21,-0.5,-18.83,0.05,0.48,-0.3,0.66,0.036000000000000004,-0.732,-0.65,-2.1,1149.0,-0.63,9,0.703,0.44,-0.21,-0.24,-0.121,0.00471,-0.61,-0.41,-0.07
